country,zipcode,latitude,longitude
US,Null,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,null,30.5191671,-87.289744
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,92008��,33.1602,-117.3249
US,null,27.6648274,-81.5157535
CA,L5R 3,43.6172714,-79.700859
CA,HZl 3,45.5814003,-73.7445974
CA,L1G 0,43.9003062,-78.8588234
US,NA,39.9361,-75.1563
US,Null,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Unassigned,42.4072107,-71.3824374
US,null,27.6648274,-81.5157535
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,null,30.3389899,-81.6589812
US,Null,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,null,30.416813,-87.2999628
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,NA,42.4096,-72.1083
CA,V8Z 1,48.4498001,-123.3759309
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,NA,42.4096,-72.1083
CA,T6B 2,53.5322831,-113.4169729
US,Null,42.4096,-72.1083
CA,B4A 2,44.7363826,-63.6538837
CA,S7P0B,52.1931327,-106.6473334
US,TBD,42.4096,-72.1083
CA,R3Y 1,49.8175276,-97.1871057
US,null,30.422763,-86.626098
CA,K2L 1,45.2968097,-75.896857
CA,G1N 2,46.7988199,-71.2578092
CA,T4N 7,52.2815,-113.8087239
CA,S7K 7,52.1852464,-106.6458277
CA,L7M 3,43.3575948,-79.8083118
CA,S4N 5,50.4772459,-104.5781474
CA,E2M 3,45.2450941,-66.0927388
CA,T4P 3,52.290425,-113.8511593
CA,A1N 5,47.5279907,-52.8233077
US,L4B 3,43.8616013,-79.3760338
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
CA,V5M 2,49.2584295,-123.0397579
CA,55555,43.8363822,-79.0282854
US,Null,42.4096,-72.1083
CA,R3Y 1,49.8179626,-97.1875968
CA,L8E 4,43.233084,-79.7286969
US,1,26.2128366,-98.1649051
US,Null,42.4096,-72.1083
US,null,40.753271,-73.9992607
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,null,30.3710971,-86.3244349
US,NA,42.4096,-72.1083
US,null,27.6648274,-81.5157535
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,null,30.5319585,-87.3626554
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,null,30.3989418,-86.5128748
CA,L7E 4,43.8520237,-79.7070065
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,null,30.5281401,-87.1963005
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
CA,L1N9T,43.8560461,-78.9015943
